iter	Passed	Remaining
431	1383	1819
432	1384	1813
433	1385	1807
434	1386	1801
435	1387	1794
436	1388	1788
437	1389	1782
438	1390	1776
439	1390	1770
440	1391	1764
441	1393	1758
442	1394	1753
443	1397	1749
444	1398	1744
445	1400	1739
446	1401	1733
447	1402	1728
448	1403	1722
449	1404	1716
450	1405	1711
451	1407	1705
452	1408	1701
453	1410	1696
454	1415	1695
455	1417	1691
456	1418	1685
457	1419	1679
458	1420	1674
459	1421	1668
460	1422	1662
461	1422	1656
462	1425	1652
463	1426	1647
464	1427	1642
465	1428	1637
466	1429	1632
467	1431	1627
468	1432	1621
469	1433	1616
470	1434	1610
471	1435	1605
472	1437	1602
473	1439	1596
474	1440	1592
475	1441	1586
476	1442	1581
477	1442	1575
478	1443	1570
479	1444	1564
480	1445	1559
481	1446	1554
482	1447	1548
483	1447	1543
484	1454	1544
485	1455	1539
486	1456	1534
487	1458	1529
488	1458	1524
489	1459	1519
490	1460	1514
491	1461	1509
492	1462	1504
493	1465	1501
494	1466	1496
495	1468	1491
496	1469	1487
497	1470	1482
498	1471	1477
499	1472	1472
500	1473	1467
501	1474	1462
502	1476	1458
503	1480	1456
504	1481	1451
505	1482	1447
506	1486	1445
507	1487	1441
508	1489	1436
509	1490	1431
510	1491	1426
511	1495	1424
512	1496	1420
513	1498	1416
514	1499	1412
515	1500	1407
516	1501	1402
517	1502	1398
518	1503	1393
519	1504	1388
520	1507	1385
521	1509	1382
522	1514	1381
523	1516	1377
524	1517	1372
525	1518	1368
526	1519	1363
527	1522	1360
528	1523	1356
529	1525	1352
530	1526	1348
531	1527	1343
532	1528	1339
533	1529	1334
534	1530	1330
535	1531	1325
536	1539	1326
537	1540	1322
538	1541	1318
539	1543	1314
540	1545	1310
541	1546	1306
542	1547	1302
543	1548	1297
544	1550	1294
545	1554	1292
546	1558	1290
547	1560	1286
548	1561	1282
549	1561	1277
550	1562	1273
551	1566	1271
552	1567	1266
553	1568	1262
554	1569	1258
555	1569	1253
556	1570	1249
557	1571	1244
558	1572	1240
559	1573	1236
560	1574	1232
561	1578	1230
562	1581	1227
563	1584	1224
564	1585	1220
565	1587	1216
566	1588	1212
567	1589	1208
568	1595	1208
569	1597	1204
570	1598	1200
571	1599	1196
572	1600	1192
573	1601	1188
574	1602	1184
575	1603	1180
576	1605	1177
577	1607	1173
578	1609	1170
579	1610	1166
580	1611	1161
581	1611	1157
582	1612	1153
583	1613	1149
584	1614	1145
585	1615	1141
586	1616	1136
587	1616	1132
588	1617	1128
589	1618	1124
590	1622	1122
591	1623	1118
592	1624	1114
593	1624	1110
594	1625	1106
595	1626	1102
596	1627	1098
597	1628	1094
598	1628	1090
599	1629	1086
600	1630	1082
601	1631	1078
602	1632	1074
603	1635	1072
604	1636	1068
605	1637	1064
606	1638	1060
607	1639	1056
608	1640	1053
609	1641	1049
610	1642	1045
611	1643	1042
612	1644	1038
613	1645	1034
614	1646	1030
615	1647	1027
616	1648	1023
617	1649	1019
618	1650	1016
619	1653	1013
620	1654	1009
621	1655	1005
622	1656	1002
623	1657	998
624	1658	994
625	1659	991
626	1660	987
627	1661	984
628	1662	980
629	1663	976
630	1664	973
631	1665	969
632	1667	966
633	1669	963
634	1671	960
635	1671	956
636	1673	953
637	1674	950
638	1675	946
639	1676	943
640	1677	939
641	1678	936
642	1679	932
643	1682	930
644	1683	926
645	1684	923
646	1686	919
647	1687	916
648	1688	913
649	1689	909
650	1690	906
651	1691	902
652	1692	899
653	1693	895
654	1694	892
655	1696	889
656	1697	886
657	1698	882
658	1699	879
659	1700	875
660	1701	872
661	1702	869
662	1702	865
663	1703	862
664	1704	858
665	1705	855
666	1706	851
667	1707	848
668	1707	845
669	1710	842
670	1711	839
671	1712	836
672	1715	833
673	1716	830
674	1717	826
675	1718	823
676	1718	820
677	1719	816
678	1720	813
679	1721	810
680	1722	806
681	1725	804
682	1726	801
683	1727	798
684	1728	794
685	1729	791
686	1730	788
687	1731	785
688	1732	782
689	1733	778
690	1734	775
691	1735	772
692	1736	769
693	1740	767
694	1742	764
695	1743	761
696	1745	758
697	1747	755
698	1748	752
699	1748	749
700	1749	746
701	1750	743
702	1751	739
703	1753	737
704	1754	734
705	1756	731
706	1757	728
707	1759	725
708	1761	722
709	1761	719
710	1762	716
711	1763	713
712	1766	711
713	1768	708
714	1769	705
715	1771	702
716	1773	699
717	1774	697
718	1775	693
719	1776	690
720	1777	687
721	1781	685
722	1783	683
723	1784	680
724	1786	677
725	1787	674
726	1788	671
727	1789	668
728	1790	665
729	1790	662
730	1792	659
731	1795	657
732	1796	654
733	1798	651
734	1800	649
735	1801	646
736	1802	643
737	1803	640
738	1804	637
739	1805	634
740	1806	631
741	1808	628
742	1809	626
743	1811	623
744	1813	620
745	1815	617
746	1815	615
747	1816	612
748	1817	609
749	1818	606
750	1819	603
751	1820	600
752	1823	598
753	1824	595
754	1826	592
755	1828	590
756	1829	587
757	1830	584
758	1831	581
759	1832	578
760	1833	575
761	1835	573
762	1835	570
763	1838	567
764	1839	565
765	1840	562
766	1841	559
767	1842	556
768	1843	553
769	1844	551
770	1845	548
771	1846	545
772	1848	542
773	1848	539
774	1850	537
775	1852	534
776	1854	532
777	1856	529
778	1859	527
779	1861	525
780	1864	522
781	1866	520
782	1867	517
783	1868	514
784	1869	511
785	1870	509
786	1870	506
787	1871	503
788	1872	500
789	1873	498
790	1874	495
791	1875	492
792	1875	489
793	1876	486
794	1879	484
795	1880	481
796	1881	479
797	1882	476
798	1883	473
799	1884	471
800	1884	468
801	1885	465
802	1886	462
803	1887	460
804	1888	457
805	1889	454
806	1890	452
807	1891	449
808	1893	447
809	1894	444
810	1895	441
811	1896	439
812	1897	436
813	1898	433
814	1899	431
815	1900	428
816	1901	425
817	1901	423
818	1902	420
819	1903	417
820	1904	415
821	1905	412
822	1908	410
823	1909	407
824	1910	405
825	1911	402
826	1912	400
827	1913	397
828	1914	394
829	1915	392
830	1915	389
831	1916	387
832	1917	384
833	1918	381
834	1919	379
835	1920	376
836	1922	374
837	1924	371
838	1925	369
839	1925	366
840	1926	364
841	1927	361
842	1928	359
843	1929	356
844	1930	354
845	1931	351
846	1932	349
847	1933	346
848	1934	343
849	1936	341
850	1938	339
851	1939	336
852	1940	334
853	1941	331
854	1943	329
855	1944	327
856	1945	324
857	1946	322
858	1947	319
859	1948	317
860	1949	314
861	1951	312
862	1953	310
863	1954	307
864	1956	305
865	1957	302
866	1958	300
867	1960	298
868	1961	295
869	1964	293
870	1966	291
871	1967	288
872	1969	286
873	1972	284
874	1974	282
875	1976	279
876	1980	277
877	1981	275
878	1983	273
879	1985	270
880	1986	268
881	1988	266
882	1989	263
883	1991	261
884	1997	259
885	2001	257
886	2003	255
887	2004	252
888	2011	251
889	2012	248
890	2014	246
891	2015	243
892	2016	241
893	2017	239
894	2018	236
895	2019	234
896	2020	232
897	2024	229
898	2026	227
899	2027	225
900	2029	222
901	2030	220
902	2031	218
903	2032	215
904	2033	213
905	2034	211
906	2038	208
907	2039	206
908	2041	204
909	2043	202
910	2045	199
911	2046	197
912	2048	195
913	2050	192
914	2053	190
915	2056	188
916	2057	186
917	2058	183
918	2059	181
919	2060	179
920	2061	176
921	2062	174
922	2063	172
923	2066	169
924	2068	167
925	2069	165
926	2070	163
927	2071	160
928	2072	158
929	2073	156
930	2074	153
931	2075	151
932	2076	149
933	2077	146
934	2081	144
935	2082	142
936	2083	140
